,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
1,,"sady khan","2021-11-20 12:21:35",0,no,no,"Disini yg nembak kyk gw siap???.masalahnya ikuti tes praktek gagal muluk.dan gw stres luangin byk waktu utk  coba lagi lagi dan lagi. Yg jelas gak ada di jalanan kyk gitu.padahal ikut seftyrideing  lancar2 aja gw",UCqcf2tU9Kcjlkyr7Dlk3Q-g,UgxhLlIenRMfFP1TsKN4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxhLlIenRMfFP1TsKN4AaABAg
2,,"Infinix Btm","2021-11-20 12:21:42",0,no,no,"Se7 mau buat SIM aja di persulit harus blak blek 6,7,8 x ujian tes padahal kita udah biasa bwa motor bertahn2... birokrasi kepolisian sangat perlu dilakukan perbaikan..",UCtIiZPjMR4TV0SFUiZK1ajg,UgxzYfUPgXDfx2iLrKR4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxzYfUPgXDfx2iLrKR4AaABAg
3,,"wahyudi yudi","2021-11-20 12:21:46",0,no,no,"track gk masuk akal,,lagian emak2 mh lebih perlu d cerahkan mslh penggunaan fitur pd motor..misal tombol lampu sein dmn,,trus klo lampu sein ke kiri maksud'y apa,lampu sein ke kanan maksud'y apa..jelas itu lebih berguna",UCJJqiAfMQNcvBXPHqR-yEbA,Ugxa9JMm10PXm83kt594AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugxa9JMm10PXm83kt594AaABAg
4,,"K2 TV","2021-11-20 12:21:50",0,no,no,"Pengalaman bikin sim sendiri,waktu itu datang sebelum jam tutup, dari luar gerbang banyak oknum petugas yg transaksi, begitu masuk gerbang langsung di tawari buat suap nembak wkwk,
dari tes teori sampai praktik, dipersulit semua seolah olah kita di giring untuk suap.. 
Tes teori di komputer, tiba tiba ngelag, soal soal tiba tiba skip sendiri dan yg terlewat ga bisa di ulang, sudah komplen ke petugas nya malah bilang "" emg seperti itu komputer nya "",lah knpa ga di ganti, masa pelyanan terhadap masyarakat seperti ini ,akhirnya terpaksa mengulang minggu depan, padahal untuk lulus tes teori minimal 70,dan saya karna ada beberapa soal yg ke skip dpt nilai 60.
Lanjut minggu depan ,alhamdulillah lulus tes teori,karna sempet komplen komputer nya jelek akhirnya dikasih yg lumayan bagus ,langsung tes simulator,dan masalahnya tetep sama, motor simulator nya seolah olah sperti di setting sedemikian rupa atau karna faktor usia juga,bener bener kurang layak untuk digunakan ..
Akhirnya gagal, kembali minggu depan, belajar dari pengalaman sebelum nya akhirnya bisa lulus dan langsung tes praktik motor ,gagal, kembali lagi minggu depan , Alhamdulillah lulus.. 
Dari pengalaman pribadi,membutuhkan waktu kurleb 1 bulan, dan sepertinya semuanya seperti di giring supaya melakukan suap, apalagi klo org yg memang tidak memiliki waktu luang yg banyak karna kesibukan, otomatis ngambil jalan pintas dengan suap..",UCLKBI_CYr6eSsQeGHXsxPFA,UgzVVP9-nZ64_QDZhpJ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzVVP9-nZ64_QDZhpJ4AaABAg
5,,"Yuda Shahrizki","2021-11-20 12:21:50",0,no,no,"Kita semua setuju dengan pendapat emak bunda yg tersayang, klo pendapat saya tes tersebut tujuannya baik selain melatih pengendalian kendaraan dan  konsentrasi tapi utk umur dibawah 30thun sepertinya msih bisa berlaku sedangkan utk masyarakat diatas usia 30thun cukup dengan pola lintasan angka 8 saya pikir sudah cukup..",UCQKO7sBEMGbM_jMt4vOyvxg,UgwCwOFFoxAObujcah14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwCwOFFoxAObujcah14AaABAg
6,,"Eigo A","2021-11-20 12:21:51",1,no,no,"Teng Teng BAKSOOO😅😅😅",UC35tYseGGLnTR6TBvzynCBA,UgzGPmTBgnltcQMjXh54AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzGPmTBgnltcQMjXh54AaABAg
7,,"Erwin Erwin","2021-11-20 12:22:25",0,no,no,"Pak Sigit Kapolri gmn nih? Ada comment?",UCVHTfdZgQv6gKrCRJa8zQlA,Ugze_Kvys-NgJQqnMlB4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugze_Kvys-NgJQqnMlB4AaABAg
8,,"Yudo Siswono","2021-11-20 12:22:36",0,no,no,"Korupsi di Indonesia memang diselenggarakan.....ngapain sewot kamu Bu!!!....wkkkkaaaaa",UCwDDoqTSVr-ti0l2efdty5g,UgwK4FZZrhDg9Dzza8d4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwK4FZZrhDg9Dzza8d4AaABAg
9,,"mabok Lem","2021-11-20 12:22:39",0,no,no,"Coba undang Valentino Rossi ikut ujian SIM. Gimana reaksinya lihat track Lintasan Bhayangkara Indo track 🤑",UCEf9KkXOdyLAxWxrnthbLOA,Ugy3a4zqngeiYZlpOLZ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugy3a4zqngeiYZlpOLZ4AaABAg
10,,"Cucu Wijaya","2021-11-20 12:22:42",0,no,no,"Kalo bahasa bang benyamin.. Akal bulus buaye gile..",UCiXJm0a16OVSNWAZCD4VI9Q,UgwQeoLgaPOKdBdVFFF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwQeoLgaPOKdBdVFFF4AaABAg
